passenger_id,city,operating_system,GU subscription month,first vertical,predicted gender,predicted age 10year
6MU770IJ316,B,Android,,Transport,Male,
1LK210OW862,A,Android,,GrabFood,Male,
2GO467RR778,D,Android,,GrabFood,Female,2
8YN162JM713,F,Android,,GrabFood,Male,
3VV906PF234,F,Android,Feb-22,GrabFood,Male,
8QO748EU140,E,Android,,GrabFood,Female,
8UY331OL988,C,Android,,GrabFood,Female,
6WS353QO974,C,Android,,GrabFood,Female,
2UE010JN304,C,Android,,GrabFood,Male,
2NK393YI072,C,iOS,,GrabFood,Female,2
3UZ294YT356,C,Android,,Transport,Female,
8RB122GR090,C,Android,,GrabFood,Male,
9QZ105UX148,C,Android,,GrabFood,Male,
4KG483UM940,C,Android,,GrabFood,Male,
9HB865GE367,A,iOS,,Transport,Female,
6XP171ZD217,A,Android,,Transport,Female,
5IY639UZ827,A,iOS,,GrabFood,Female,2
4QR649NE749,G,iOS,,GrabFood,Female,
4CW414PP901,G,iOS,,GrabFood,Female,2
9BP062XG978,G,iOS,,GrabFood,Male,
7JF160UX906,D,Android,,GrabFood,Female,
9VC017TS169,G,iOS,,GrabFood,Female,
7LV239ZU114,G,iOS,,GrabFood,Female,2
7EA215YT104,G,iOS,,GrabFood,Female,
4SS463CY453,G,Android,,GrabFood,Female,
9FZ347NL775,G,iOS,,GrabFood,Female,
3DE356JX959,G,Android,,GrabFood,Female,
4XR877XM275,G,Android,,GrabFood,Male,
7NV781BT589,G,Android,,GrabFood,Female,
9OJ512QU608,G,Android,,GrabFood,Female,
9BO357GG126,G,Android,,GrabFood,Male,
7OX599LT849,G,iOS,,Transport,Female,
2XW340UR920,G,Android,,GrabFood,Male,
3FN547WQ785,C,Android,,GrabFood,Female,
3GT413CG952,A,iOS,,Transport,Female,
5GE766BV975,A,iOS,,Transport,Female,
2JC635GT221,C,Android,,GrabFood,Male,2
3EI225VO576,C,Android,,Transport,Female,
3NZ971NC702,C,Android,,GrabFood,Female,2
5TM221UR169,C,iOS,,Transport,Male,
2MH000UW061,C,Android,,GrabMart,Male,
9XS203EW713,A,Android,,GrabFood,Female,
4MT530JB575,A,iOS,,Transport,Female,
9II435QR964,A,Android,,Transport,Male,
9GW768YS056,G,iOS,,Transport,Female,
3ML706XP342,C,iOS,,GrabFood,Female,
7QA774XS838,C,iOS,,GrabFood,Female,
4PB792NU266,A,iOS,,GrabFood,Female,
8LB764UX297,A,Android,,Transport,Male,
4ZG455GL487,A,Android,,GrabFood,Male,
7VJ121CZ663,A,iOS,,Transport,Female,
1JS483TV569,A,iOS,,Transport,Female,
4BG760IG917,A,Android,,Transport,Male,
4VJ443DF469,A,iOS,,GrabFood,Female,
2FM301AE386,A,iOS,,Transport,Female,
9YE301OY492,A,iOS,,Transport,Female,
4QB187DF559,A,iOS,,GrabFood,Male,
1SP706XB568,A,iOS,,Transport,Female,
3CR395PE558,A,iOS,,GrabFood,Female,
5XJ398TQ486,A,Android,,GrabFood,Male,
3QL980WF873,A,Android,,GrabFood,Female,
8ZQ551WC591,E,iOS,,GrabFood,Female,
6KL788DS494,D,Android,,Transport,Female,
9MB685PY009,E,Android,,GrabFood,Female,
2OD280GC497,E,Android,,GrabFood,Female,
6GZ970JJ714,E,iOS,,GrabFood,Male,
2ZJ831XV741,A,iOS,,GrabFood,Male,
5YC235HH855,A,iOS,,GrabFood,Female,
7PG172RB023,A,Android,,GrabFood,Female,
7RL169VD804,A,Android,,Transport,Male,
9JI418FG172,A,Android,,GrabFood,Male,
9OQ854ZD625,A,Android,,GrabFood,Female,
3JV673FY819,A,iOS,,GrabFood,Female,
8HF953ET312,A,iOS,,GrabFood,Female,
7MX707UA710,A,iOS,,Transport,Male,2
6LC263PT756,A,Android,,GrabMart,Male,
5WN772YJ782,A,iOS,,GrabFood,Male,
5JH812RE481,A,Android,,GrabFood,Female,
1NZ472WI678,A,iOS,,GrabFood,Female,
9TQ927CS548,A,iOS,,Transport,Female,
6AN294AY153,B,iOS,,Transport,Female,2
8XI888LZ284,B,Android,,GrabFood,Male,
1HT773VT687,B,Android,,GrabFood,Female,
3RR691UH502,B,Android,,GrabFood,Male,
7PR365SE107,B,Android,,GrabFood,Female,
7ND575ST355,B,iOS,,GrabFood,Female,
1HA322JT452,B,Android,,GrabFood,Male,
1NF479UO661,B,Android,,GrabFood,Female,
3UX077TE868,G,Android,,GrabFood,Female,
1LK454JM387,G,Android,,GrabFood,Female,
4PM527OE496,G,Android,,GrabFood,Male,
3RP964KW955,G,Android,,GrabFood,Female,
5LB194MV821,G,iOS,,GrabFood,Female,2
2EO411UO559,G,iOS,,GrabExpress,Male,
1ZF995WG780,G,Android,,GrabFood,Female,
2HA703WN683,G,iOS,,GrabFood,Female,
5DH240EY448,G,iOS,,GrabFood,Female,
1ZI095SD682,G,iOS,,GrabFood,Female,
4DC460DP097,G,iOS,,GrabFood,Male,
7QV294IF668,G,Android,,GrabFood,Female,
6FP555QT061,G,Android,,GrabFood,Female,
2HI012TY296,G,Android,,GrabFood,Male,
9YE543VV751,G,iOS,,GrabFood,Female,2
5PK078MY067,G,Android,,Transport,Male,
6UU459DB971,G,Android,,GrabFood,Female,
3CW982PE054,A,Android,,Transport,Female,
8NF317JX587,A,Android,,Transport,Male,
1RX451FV789,A,Android,,GrabFood,Female,
8FS486GE963,A,iOS,,Transport,Female,
3AE268VT007,A,iOS,,GrabFood,Male,
5EE299QI333,A,Android,,Transport,Female,
9GY931EF777,A,iOS,,GrabFood,Female,
1UR241CQ045,A,Android,,GrabFood,Female,
7YN182MN544,A,iOS,,GrabFood,Male,
4WV698QB121,A,Android,,GrabFood,Male,
5BC388VA536,A,Android,,Transport,Female,
4DE978DW264,D,iOS,,Transport,Female,2
7GE502UJ085,D,Android,,Transport,Male,
4ML393CI927,D,iOS,,Transport,Female,
3MZ643NF303,G,iOS,,GrabMart,Female,
9FD706VA959,D,iOS,,GrabFood,Female,
8HM956YD512,D,Android,,GrabFood,Female,
2WA799XK186,A,iOS,,Transport,Female,
6RQ922IO968,A,Android,,GrabFood,Male,
