passenger_id,month,gmv,tpv,booking,cashless_bookings,grabfood_gmv,grabfood_tpv,grabfood_booking,grabfood_promo,grabmart_gmv,grabmart_tpv,grabmart_booking,grabmart_promo,transport_gmv,transport_tpv,transport_booking,transport_promo,grabexpress_gmv,grabexpress_tpv,grabexpress_booking,grabexpress_promo,earned_point_l30d,burned_point_l30d,eom_point_balance,eom_reward_tier
6DY932XX001,1-Apr-22,228.87,228.87,22,22,190.2,190.2,18,75,0,0,0,0,38.67,38.67,4,9.85,0,0,0,0,20,20,20,platinum
6DY932XX001,1-May-22,361.69,361.69,20,20,195.15,195.15,15,85,159.36,159.36,4,1.57,7.18,7.18,1,2.15,0,0,0,0,60,80,20,platinum
6DY932XX001,1-Jun-22,537.62,537.62,49,49,383.45,383.45,43,122.25,88.79,88.79,1,17.79,65.38,65.38,5,3.13,0,0,0,0,60,60,20,platinum
7TI041UN191,1-Apr-22,45.15,45.15,2,2,45.15,45.15,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,gold
7TI041UN191,1-May-22,74.7,74.7,7,7,74.7,74.7,7,6.25,0,0,0,0,0,0,0,0,0,0,0,0,20,40,20,gold
7TI041UN191,1-Jun-22,7.6,7.6,1,1,7.6,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,gold
6ZI273OZ914,1-Apr-22,115.91,115.91,18,18,83.3,83.3,12,38,21.79,21.79,5,0,10.82,10.82,1,3.28,0,0,0,0,20,0,240,gold
6ZI273OZ914,1-May-22,126.36,126.36,19,19,114.5,114.5,18,52.6,11.86,11.86,1,0,0,0,0,0,0,0,0,0,20,0,240,gold
6ZI273OZ914,1-Jun-22,87.46,87.46,13,13,76.1,76.1,11,31.8,11.36,11.36,2,0,0,0,0,0,0,0,0,0,40,0,280,gold
6QR932DI993,1-Apr-22,117.65,22.05,6,1,117.65,22.05,6,1.75,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,silver
6QR932DI993,1-May-22,74.85,0,5,0,74.85,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,silver
2RB117ZX784,1-Apr-22,319.8,319.8,23,23,319.8,319.8,23,90.45,0,0,0,0,0,0,0,0,0,0,0,0,40,0,100,gold
2RB117ZX784,1-May-22,198.68,198.68,11,11,137.4,137.4,9,21.55,0,0,0,0,61.28,61.28,2,5.13,0,0,0,0,40,0,140,platinum
2RB117ZX784,1-Jun-22,295.38,295.38,17,17,274.05,274.05,16,38.3,0,0,0,0,21.33,21.33,1,2.15,0,0,0,0,40,0,160,platinum
8WA407FM983,1-Apr-22,966.23,0,67,0,906.3,0,58,2.85,59.93,0,9,0,0,0,0,0,0,0,0,0,0,0,0,member
8WA407FM983,1-May-22,556.12,0,49,0,503.05,0,44,7.8,53.07,0,5,0,0,0,0,0,0,0,0,0,0,0,0,member
8WA407FM983,1-Jun-22,375.4,0,21,0,300.9,0,16,6.3,74.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,member
7MZ233CP560,1-Apr-22,173.77,89.84,14,5,67.05,22.15,6,23.05,0,0,0,0,54.72,15.69,7,0.26,52,52,1,0,20,20,20,silver
7MZ233CP560,1-May-22,82.09,18.69,12,3,58.35,6.9,8,0.75,0,0,0,0,23.74,11.79,4,1.95,0,0,0,0,20,0,20,silver
7MZ233CP560,1-Jun-22,154.39,90.95,19,12,146.7,90.95,18,20.8,0,0,0,0,7.69,0,1,1.95,0,0,0,0,20,0,20,silver
7LD824FI790,1-Jun-22,24,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,24,1,0,20,0,20,member
7IP885BI354,1-Apr-22,343.88,343.88,35,35,311.55,311.55,33,2,0,0,0,0,0,0,0,0,32.33,32.33,2,0,60,0,400,platinum
7IP885BI354,1-May-22,210.32,210.32,28,28,192.65,192.65,27,2.25,0,0,0,0,0,0,0,0,17.67,17.67,1,0,40,0,420,platinum
7IP885BI354,1-Jun-22,147.64,147.64,24,24,129.95,129.95,23,0.9,0,0,0,0,17.69,17.69,1,0,0,0,0,0,20,0,420,platinum
3YZ149EH037,1-Apr-22,688.53,688.53,32,32,396.45,396.45,24,0,223.93,223.93,4,0,68.15,68.15,4,0,0,0,0,0,100,0,1320,platinum
3YZ149EH037,1-May-22,980.79,927.23,44,42,472.1,472.1,30,0,332.36,332.36,5,0,132,122.77,8,0,44.33,0,1,0,140,0,1520,platinum
3YZ149EH037,1-Jun-22,776,776,43,43,509.55,509.55,32,3.75,107.79,107.79,4,0,97,97,5,0,61.67,61.67,2,0,100,0,1560,platinum
